ID,Name,kn,km,Mr,Rw,In,I0,Jr,gradient,Vn,length,diameter
,EC-flat-45 12W 9V,918,0.0104,0.0015288,1.01,2.04,0.147,52.3,89300,9,16,45
,EC-flat-45 12W 12V,706,0.0135,0.0015525,2.29,1.37,0.115,52.3,120000,12,16,45
,EC-flat-45 12W 24V,313,0.0305,0.0014518,6.42,0.766,0.0476,52.3,65900,24,16,45
,EC-flat-45 30W 12V,374,0.0255,0.00041565,1.2,2.02,0.0163,92.5,17600,12,16.5,45
,EC-flat-45 30W 24V,187,0.051,0.0041514,4.83,1.01,0.0814,92.5,17200,24,16.5,45
,EC-flat-45 30W 36V,135,0.0706,0.00434896,6.69,0.847,0.0616,92.5,12400,36,16.5,45
,EC-flat-45 50W 18V,324,0.0295,0.003304,0.447,3.68,0.112,135,4910,18,22,45
,EC-flat-45 50W 24V,265,0.036,0.0032796,0.942,2.52,0.0911,135,6920,24,22,45
,EC-flat-45 50W 36V,171,0.0557,0.00506313,2.24,1.63,0.0909,135,6890,36,22,45
,EC-flat-45 50W 48V,121,0.0786,0.00080172,3.61,1.27,0.0102,135,5580,48,22,45
,EC-flat-45 70W 24V,236,0.0404,0.0054136,0.573,3.29,0.134,181,3350,24,27,45
,EC-flat-45 70W 36V,167,0.057,0.00627,1.56,1.97,0.11,181,4580,36,27,45
,EC-flat-45 70W 48V,118,0.0808,0.0090496,3.07,1.41,0.112,181,4490,48,27,45
,EC-flat-45 70W 60V,62.8,0.152,0.021736,7.37,0.92,0.143,181,3040,60,27,45
,EC-flat-60 100W 12V,318,0.03,0.02391,0.108,8.72,0.797,835,1140,12,38,60
,EC-flat-60 100W 24V,182,0.0525,0.0258825,0.293,5.14,0.493,835,1010,24,38,60
,EC-flat-60 100W 48V,84.4,0.113,0.024973,1.11,2.61,0.221,835,837,48,38,60
,EC-flat-60 150W 12V,318,0.03,0.02445,0.108,12,0.815,810,1140,12,38,60
,EC-flat-60 150W 24V,182,0.0525,0.0260925,0.293,7.25,0.497,810,1010,24,38,60
,EC-flat-60 150W 48V,84.8,0.113,0.025312,1.11,3.63,0.224,810,837,48,38,60
,EC-flat-60 200W 12V,318,0.03,0.02445,0.108,15.1,0.815,832,1140,12,45.5,60
,EC-flat-60 200W 24V,182,0.0525,0.0260925,0.293,9.28,0.497,832,1010,24,45.5,60
,EC-flat-60 200W 48V,84.8,0.113,0.025312,1.11,4.6,0.224,832,837,48,45.5,60
,EC-flat-90 160W 12V,368,0.0356,0.046992,0.0577,12.8,1.32,3170,435,12,27.4,90
,EC-flat-90 160W 24V,134,0.0712,0.0468496,0.216,6.39,0.658,3170,407,24,27.4,90
,EC-flat-90 160W 36V,86.8,0.11,0.0462,0.523,4.09,0.42,3170,412,36,27.4,90
,EC-flat-90 160W 60V,44.1,0.217,0.042749,2.03,2.1,0.197,3170,412,60,27.4,90
,EC-flat-90 200W 24V,134,0.0712,0.0468496,0.216,9.44,0.658,2875,407,24,27.4,90
,EC-flat-90 200W 36V,86.8,0.11,0.0462,0.523,6.01,0.42,2875,412,36,27.4,90
,EC-flat-90 200W 60V,44.1,0.217,0.042749,2.03,2.96,0.197,2875,412,60,27.4,90
,EC-flat-90 360W 12V,272,0.0351,0.048789,0.0577,23.9,1.39,3210,448,12,39.9,90
,EC-flat-90 360W 24V,136,0.0701,0.0487896,0.216,12,0.696,3210,419,24,39.9,90
,EC-flat-90 360W 36V,88.1,0.108,0.047952,0.523,7.61,0.444,3210,425,36,39.9,90
,EC-flat-90 360W 60V,44.7,0.214,0.04494,2.03,3.73,0.21,3210,424,60,39.9,90
,EC-flat-90 260W 18V,118,0.0807,0.066981,0.0983,12.1,0.83,5060,144,18,39.9,90
,EC-flat-90 260W 30V,70.2,0.136,0.06664,0.28,7.06,0.49,5060,144,30,39.9,90
,EC-flat-90 260W 48V,41.3,0.231,0.064218,0.844,4.06,0.278,5060,151,48,39.9,90
,EC-flat-90 260W 60V,33.4,0.286,0.064922,1.28,3.28,0.227,5060,150,60,39.9,90
,EC-flat-90 400W 18V,117,0.0816,0.0646272,0.0983,14.9,0.792,4765,141,18,39.9,90
,EC-flat-90 400W 30V,70.2,0.136,0.0646,0.28,8.73,0.475,4765,144,30,39.9,90
,EC-flat-90 400W 48V,41.3,0.231,0.062832,0.844,4.96,0.272,4765,151,48,39.9,90
,EC-flat-90 400W 60V,33.4,0.286,0.063206,1.28,4.03,0.221,4765,150,60,39.9,90
,EC-flat-90 600W 18V,117,0.0816,0.0669936,0.0983,18,0.821,5100,141,18,52.4,90
,EC-flat-90 600W 30V,70.2,0.136,0.067048,0.28,10.5,0.493,5100,144,30,52.4,90
,EC-flat-90 600W 48V,41.3,0.231,0.065373,0.844,5.95,0.283,5100,151,48,52.4,90
,EC-flat-90 600W 60V,33.4,0.286,0.06578,1.28,4.83,0.23,5100,150,60,52.4,90
,EC-i-30 30W 12V,775,0.0123,0.0025338,0.434,3.05,0.206,7.3,27300,12,57,30
,EC-i-30 30W 24V,387,0.0246,0.0025338,1.64,1.52,0.103,7.3,25800,24,57,30
,EC-i-30 30W 36V,258,0.037,0.0025382,3.93,0.982,0.0686,7.3,27500,36,57,30
,EC-i-30 30W 48V,190,0.0503,0.00252003,6.76,0.748,0.0501,7.3,25500,48,57,30
,EC-i-30 45W 12V-high-torque,696,0.0137,0.0037401,0.225,4.51,0.273,8.1,11400,12,57,30
,EC-i-30 45W 18V-high-torque,464,0.0206,0.0037492,0.441,3.09,0.182,8.1,9940,18,57,30
,EC-i-30 45W 24V-high-torque,359,0.0266,0.0038038,0.787,2.28,0.143,8.1,10600,24,57,30
,EC-i-30 45W 36V-high-torque,232,0.0412,0.00375332,1.68,1.54,0.0911,8.1,9430,36,57,30
,EC-i-30 45W 48V-high-torque,180,0.0532,0.0038038,3.06,1.14,0.0715,8.1,1030,48,57,30
,EC-i-30 50W 12V,837,0.0114,0.0038418,0.201,4.98,0.337,13.8,14700,12,79,30
,EC-i-30 50W 24V,418,0.0228,0.0038532,0.713,2.48,0.169,13.8,13100,24,79,30
,EC-i-30 50W 36V,288,0.0332,0.0038844,1.57,1.64,0.117,13.8,13600,36,79,30
,EC-i-30 50W 48V,214,0.0446,0.00387128,2.35,1.33,0.0868,13.8,11300,48,79,30
,EC-i-30 75W 12V,668,0.0143,0.0063921,0.118,7.32,0.447,15.5,5500,12,79,30
,EC-i-30 75W 18V,446,0.0214,0.0063772,0.218,4.97,0.298,15.5,4540,18,79,30
,EC-i-30 75W 24V,334,0.0286,0.0063778,0.38,3.64,0.223,15.5,4450,24,79,30
,EC-i-30 75W 36V,223,0.0429,0.0063921,0.782,2.48,0.149,15.5,4070,36,79,30
,EC-i-30 75W 48V,173,0.0554,0.0064818,1.39,1.83,0.117,15.5,4330,48,79,30
,EC-i-40 50W 12V,1070,0.00895,0.0046719,0.227,4.53,0.522,10.5,2980,12,44.5,40
,EC-i-40 50W 24V,565,0.0169,0.0048165,0.501,2.8,0.285,10.5,1840,24,44.5,40
,EC-i-40 50W 9V-high-torque,881,0.0108,0.0062316,0.136,5.91,0.577,12.8,11100,9,44.5,40
,EC-i-40 50W 18V-high-torque,440,0.0217,0.0062713,0.455,2.93,0.289,12.8,9240,18,44.5,40
,EC-i-40 50W 36V-high-torque,207,0.0461,0.0060391,1.44,1.61,0.131,12.8,6480,36,44.5,40
,EC-i-40 50W 48V-high-torque,160,0.0596,0.0061388,2.63,1.18,0.103,12.8,7070,48,44.5,40
,EC-i-40 70W 18V,572,0.0167,0.0059118,0.343,3.93,0.354,24.2,11700,18,54.5,40
,EC-i-40 70W 36V,303,0.0315,0.006048,0.778,2.43,0.192,24.2,7470,36,54.5,40
,EC-i-40 70W 18V-high-torque,441,0.0217,0.0097216,0.199,4.87,0.448,23,4050,18,55,40
,EC-i-40 70W 36V-high-torque,207,0.0461,0.0094505,0.591,2.73,0.205,23,2660,36,55,40
,EC-i-40 70W 48V-high-torque,104,0.0921,0.00795744,2.28,1.55,0.0864,23,2560,48,55,40
,EC-i-40 100W 18V-high-torque,255,0.0375,0.0132,0.236,5.46,0.352,44,1600,18,75,40
,EC-i-40 100W 36V-high-torque,127,0.0749,0.0131824,0.853,2.72,0.176,44,1450,36,75,40
,EC-i-40 100W 48V-high-torque,105,0.091,0.01365,1.01,2.39,0.15,44,1160,48,75,40
,EC-i-52 180W 18V-high-torque,270,0.0353,0.035653,0.0555,11.1,1.01,170,425,18,97,52
,EC-i-52 180W 24V-high-torque,197,0.0486,0.0352836,0.0894,8.81,0.726,170,362,24,97,52
,EC-i-52 180W 36V-high-torque,135,0.0706,0.0357942,0.16,6.18,0.507,170,306,36,97,52
,EC-i-52 180W 48V-high-torque,103,0.0927,0.036153,0.284,4.47,0.39,170,316,48,97,52
,EC-i-52 200W 24V-high-torque,140,0.068,0.044676,0.119,9.36,0.657,264,245,24,126.8,52
,EC-i-52 200W 36V-high-torque,103,0.0931,0.0464569,0.178,6.93,0.499,264,196,36,126.8,52
,EC-i-52 200W 48V-high-torque,83.3,0.115,0.048185,0.24,5.44,0.419,264,174,48,126.8,52
